iter	Passed	Remaining
0	0	497
1	0	452
2	1	437
3	1	433
4	2	425
5	2	423
6	2	416
7	3	416
8	3	411
9	4	406
10	4	400
11	4	397
12	5	392
13	5	388
14	5	385
15	6	381
16	6	379
17	6	376
18	7	375
19	7	372
20	7	371
21	8	369
22	8	367
23	8	365
24	9	363
25	9	364
26	10	363
27	10	364
28	10	363
29	11	364
30	11	363
31	12	363
32	12	361
33	12	361
34	13	359
35	13	358
36	13	357
37	14	356
38	14	355
39	14	354
40	15	354
41	15	354
42	15	354
43	16	354
44	16	353
45	17	352
46	17	352
47	17	352
48	18	351
49	18	352
50	18	352
51	19	352
52	19	353
53	20	354
54	20	356
55	21	356
56	21	358
57	22	358
58	22	359
59	22	359
60	23	359
61	23	357
62	23	356
63	24	357
64	24	356
65	25	356
66	25	356
67	25	355
68	26	354
69	26	353
70	27	353
71	27	353
72	27	352
73	28	353
74	28	352
75	28	351
76	29	350
77	29	350
78	30	350
79	30	350
80	30	349
81	31	348
82	31	346
83	31	345
84	32	345
85	32	344
86	32	344
87	33	344
88	33	344
89	33	343
90	34	343
91	34	342
92	35	342
93	35	341
94	35	341
95	36	341
96	36	340
97	36	340
98	37	339
99	37	339
100	37	338
101	38	337
102	38	337
103	39	337
104	39	336
105	39	336
106	40	335
107	40	335
108	40	335
109	41	334
110	41	334
111	42	333
112	42	333
113	42	332
114	43	332
115	43	331
116	43	330
117	44	330
118	44	329
119	44	329
120	45	329
121	45	327
122	45	327
123	46	327
124	46	327
125	47	327
126	47	326
127	47	325
128	48	325
129	48	324
130	48	324
131	49	323
132	49	322
133	49	322
134	50	322
135	50	322
136	51	323
137	51	323
138	52	323
139	52	323
140	53	322
141	53	321
142	53	321
143	54	322
144	54	322
145	55	322
146	55	321
147	55	321
148	56	321
149	56	320
150	56	320
151	57	319
152	57	318
153	57	318
154	58	317
155	58	317
156	59	317
157	59	316
158	59	316
159	60	315
160	60	314
161	60	314
162	61	315
163	61	314
164	62	315
165	62	315
166	63	315
167	63	315
168	64	315
169	64	314
170	64	314
171	65	314
172	65	313
173	65	313
174	66	312
175	66	312
176	67	311
177	67	311
178	67	310
179	68	309
180	68	309
181	68	308
182	69	308
183	69	308
184	69	307
185	70	307
186	70	306
187	70	306
188	71	306
189	71	305
190	72	305
191	72	305
192	72	304
193	73	304
194	73	303
195	74	303
196	74	303
197	74	302
198	75	302
199	75	301
200	75	301
201	76	300
202	76	300
203	76	300
204	77	299
205	77	299
206	78	299
207	78	298
208	78	298
209	79	298
210	79	297
211	80	297
212	80	296
213	80	296
214	81	295
215	81	295
216	81	294
217	81	293
218	82	293
219	82	292
220	82	292
221	83	291
222	83	291
223	83	290
224	84	290
225	84	289
226	84	288
227	85	288
228	85	287
229	85	287
230	86	287
231	86	287
232	87	286
233	87	286
234	87	285
235	88	284
236	88	284
237	88	283
238	88	283
239	89	282
240	89	282
241	89	281
242	90	281
243	90	280
244	90	280
245	91	279
246	91	279
247	91	278
248	92	278
249	92	277
250	92	277
251	93	276
252	93	277
253	94	276
254	94	276
255	94	275
256	95	275
257	95	275
258	96	275
259	96	275
260	97	274
261	97	275
262	98	274
263	98	274
264	99	274
265	99	274
266	100	274
267	100	274
268	101	274
269	101	274
270	101	274
271	102	274
272	102	273
273	103	273
274	103	273
275	104	273
276	104	272
277	104	272
278	105	271
279	105	271
280	106	271
281	106	271
282	106	270
283	107	271
284	108	271
285	108	270
286	108	270
287	109	269
288	109	269
289	109	268
290	110	268
291	110	267
292	110	267
293	111	266
294	111	266
295	111	265
296	112	265
297	112	264
298	112	264
299	113	263
300	113	263
301	113	262
302	114	262
303	115	263
304	115	263
305	116	263
306	116	262
307	116	262
308	117	262
309	117	261
310	117	261
311	118	260
312	118	260
313	118	259
314	119	259
315	119	258
316	119	258
317	120	257
318	120	257
319	120	256
320	121	256
321	121	255
322	121	255
323	122	254
324	122	254
325	122	253
326	123	253
327	123	253
328	124	253
329	124	252
330	125	252
331	125	252
332	125	252
333	126	252
334	127	252
335	127	252
336	128	251
337	128	252
338	129	251
339	129	251
340	129	250
341	130	250
342	130	249
343	130	249
344	131	249
345	131	248
346	131	247
347	132	247
348	132	246
349	132	246
350	132	245
351	133	245
352	133	244
353	133	244
354	134	243
355	134	243
356	134	242
357	135	242
358	135	241
359	135	241
360	136	241
361	136	240
362	136	240
363	137	239
364	137	239
365	137	238
366	138	238
367	138	238
368	139	238
369	139	237
370	140	237
371	140	237
372	141	237
373	141	236
374	141	236
375	142	236
376	142	235
377	143	235
378	143	235
379	144	235
380	144	234
381	145	234
382	145	234
383	146	234
384	146	233
385	146	233
386	147	233
387	147	233
388	148	233
389	149	233
390	149	232
391	149	232
392	150	231
393	150	231
394	150	230
395	151	230
396	151	229
397	151	229
398	151	228
399	152	228
400	152	227
401	152	227
402	153	227
403	153	226
404	153	226
405	154	225
406	154	225
407	154	224
408	155	224
409	155	223
410	155	223
411	156	222
412	157	223
413	157	222
414	157	222
415	158	222
416	158	221
417	158	221
418	159	221
419	159	220
420	160	220
421	160	220
422	161	220
423	161	219
424	162	219
425	162	219
426	163	219
427	163	218
428	163	218
429	164	217
430	164	217
431	164	216
432	165	216
433	165	215
434	165	215
435	166	214
436	166	214
437	166	213
438	167	213
439	167	212
440	167	212
441	167	212
442	168	211
443	168	211
444	168	210
445	170	211
446	170	211
447	170	210
448	171	210
449	171	210
450	172	209
451	172	209
452	172	208
453	173	208
454	173	207
455	173	207
456	174	206
457	174	206
458	174	205
459	175	205
460	175	205
461	175	204
462	176	204
463	176	203
464	176	203
465	176	202
466	177	202
467	177	201
468	177	201
469	178	201
470	178	200
471	178	200
472	179	199
473	179	199
474	179	198
475	180	198
476	180	197
477	180	197
478	181	196
479	181	196
480	181	196
481	182	195
482	182	195
483	183	195
484	183	195
485	184	194
486	184	194
487	184	193
488	185	193
489	185	192
490	185	192
491	185	192
492	186	191
493	186	191
494	186	190
495	187	190
496	187	189
497	187	189
498	188	188
499	188	188
500	188	188
501	189	187
502	189	187
503	189	186
504	190	186
505	190	185
506	190	185
507	190	184
508	191	184
509	191	184
510	191	183
511	192	183
512	192	182
513	192	182
514	193	182
515	193	181
516	193	181
517	194	180
518	194	180
519	194	179
520	195	179
521	195	179
522	196	179
523	196	178
524	197	178
525	197	177
526	197	177
527	198	177
528	198	176
529	198	176
530	199	175
531	199	175
532	199	174
533	199	174
534	200	174
535	200	173
536	200	173
537	201	172
538	201	172
539	201	171
540	202	171
541	202	171
542	202	170
543	203	170
544	203	169
545	203	169
546	204	169
547	204	168
548	205	168
549	205	168
550	205	167
551	205	167
552	206	166
553	206	166
554	206	165
555	207	165
556	207	165
557	208	164
558	208	164
559	208	163
560	209	163
561	209	163
562	209	162
563	209	162
564	210	161
565	210	161
566	210	161
567	211	160
568	211	160
569	211	159
570	213	160
571	213	159
572	213	159
573	213	158
574	214	158
575	214	158
576	215	157
577	215	157
578	215	156
579	216	156
580	216	156
581	216	155
582	216	155
583	217	154
584	217	154
585	218	154
586	218	153
587	219	153
588	219	153
589	219	152
590	220	152
591	220	151
592	220	151
593	220	151
594	221	150
595	221	150
596	221	149
597	222	149
598	222	148
599	222	148
600	223	148
601	223	147
602	223	147
603	224	146
604	224	146
605	224	146
606	225	145
607	225	145
608	226	145
609	226	144
610	226	144
611	227	144
612	227	143
613	228	143
614	228	143
615	229	142
616	229	142
617	230	142
618	230	142
619	231	141
620	231	141
621	232	141
622	232	140
623	232	140
624	233	139
625	233	139
626	233	139
627	234	138
628	234	138
629	234	137
630	235	137
631	235	137
632	236	136
633	236	136
634	236	136
635	237	135
636	238	135
637	238	135
638	239	135
639	240	135
640	240	134
641	241	134
642	241	134
643	242	133
644	242	133
645	242	133
646	243	132
647	243	132
648	244	132
649	244	131
650	245	131
651	246	131
652	246	131
653	247	130
654	247	130
655	248	130
656	248	129
657	248	129
658	249	128
659	249	128
660	249	128
661	250	127
662	250	127
663	250	126
664	251	126
665	251	126
666	251	125
667	252	125
668	252	124
669	252	124
670	253	124
671	253	123
672	253	123
673	254	122
674	254	122
675	254	122
676	255	121
677	255	121
678	255	120
679	255	120
680	256	120
681	256	119
682	257	119
683	257	119
684	258	118
685	258	118
686	258	117
687	259	117
688	259	117
689	259	116
690	260	116
691	260	115
692	260	115
693	261	115
694	261	114
695	261	114
696	261	113
697	262	113
698	262	113
699	262	112
700	263	112
701	263	111
702	263	111
703	264	111
704	265	111
705	265	110
706	265	110
707	266	109
708	266	109
709	266	109
710	267	108
711	267	108
